,game_id,date,aw_team,hm_team,hm_is_b2b,aw_is_b2b,home_total_goals,away_total_goals,home_total_shots,away_total_shots,hm_wins,away_xG,home_xG
168,2018020190.0,2018-11-01,PHI,LAK,0,0,2,5,27,31,0,3.4422,2.4694
169,2018020192.0,2018-11-02,FLA,WPG,1,1,2,4,34,26,0,2.4204,2.7852
170,2018020194.0,2018-11-02,CAR,ARI,0,0,4,3,25,51,1,4.5772,1.8846
171,2018020195.0,2018-11-03,OTT,BUF,0,0,9,2,41,29,1,2.2816,5.3734
172,2018020196.0,2018-11-03,TBL,MTL,0,0,1,4,35,36,0,4.4033999999999995,3.3788
173,2018020197.0,2018-11-03,EDM,DET,0,0,3,4,26,42,0,3.6852,1.2654
174,2018020199.0,2018-11-03,TOR,PIT,0,0,0,5,31,33,0,3.916,1.5144
175,2018020200.0,2018-11-03,DAL,WSH,0,0,3,4,32,37,0,2.1348,1.5382
176,2018020201.0,2018-11-03,MIN,STL,0,0,1,5,16,45,0,2.4772,0.8956
177,2018020202.0,2018-11-03,BOS,NSH,0,0,1,0,40,26,1,2.9402,2.4938
178,2018020204.0,2018-11-03,CAR,VGK,0,1,3,0,25,34,1,1.5684,2.1356
179,2018020205.0,2018-11-03,CBJ,LAK,0,0,4,1,29,27,1,1.2538,2.7344
180,2018020207.0,2018-11-04,TBL,OTT,1,1,3,4,25,45,0,3.9262,2.3498
181,2018020208.0,2018-11-04,BUF,NYR,0,1,3,1,22,40,1,2.8176,1.242
182,2018020209.0,2018-11-04,CBJ,ANA,0,1,3,2,30,26,1,2.1082,2.2526
183,2018020210.0,2018-11-05,DAL,BOS,0,0,2,1,35,25,1,1.4732,1.648
184,2018020212.0,2018-11-05,NJD,PIT,0,0,1,5,36,39,0,4.8894,1.7007999999999999
185,2018020213.0,2018-11-05,EDM,WSH,0,0,4,2,23,33,1,2.558,1.5152
186,2018020214.0,2018-11-05,PHI,ARI,0,0,2,5,36,34,0,1.9954,2.2608
187,2018020215.0,2018-11-06,VGK,TOR,0,0,3,1,21,37,1,2.856,1.4982
188,2018020216.0,2018-11-06,MTL,NYR,0,0,5,3,32,34,1,2.107,3.6534
